"Package" "LibPath" "Version" "Priority" "Depends" "Imports" "LinkingTo" "Suggests" "Enhances" "License" "License_is_FOSS" "License_restricts_use" "OS_type" "MD5sum" "NeedsCompilation" "Built"
rmongodb" NA NA NA "MIT" NA NA NA NA NA "3.2.2"
"rngtools" "rngtools" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.2.4" NA "R (>= 3.0.0), methods, pkgmaker (>= 0.20)" "stringr, digest" NA "parallel, RUnit, knitr" NA "GPL-3" NA NA NA NA "no" "3.2.0"
"roxygen2" "roxygen2" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "5.0.0" NA "R (>= 3.0.2)" "stringr (>= 0.5), stringi, brew, digest, methods, Rcpp (>=
0.11.0)" "Rcpp" "testthat (>= 0.8.0), knitr, devtools, rmarkdown" NA "GPL (>= 2)" NA NA NA NA "yes" "3.2.2"
"rpart" "rpart" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "4.1-10" "recommended" "R (>= 2.15.0), graphics, stats, grDevices" NA NA "survival" NA "GPL-2 | GPL-3" NA NA NA NA "yes" "3.2.2"
"rsconnect" "rsconnect" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.4.1.4" NA "
R (>= 3.0.0)" "
digest,
PKI,
RCurl,
RJSONIO,
packrat (>= 0.4.2-1),
yaml (>= 2.1.5),
rstudioapi (>= 0.2)" NA "
scrypt,
knitr,
testthat,
rmarkdown (>= 0.5.2)" "BiocInstaller" "GPL-2" NA NA NA NA NA "3.2.1"
"rstudioapi" "rstudioapi" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.3.1" NA NA NA NA NA NA "MIT + file LICENSE" NA NA NA NA "no" "3.2.0"
"rversions" "rversions" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.0.2" NA NA "curl, xml2, utils" NA NA NA "MIT + file LICENSE" NA NA NA NA "no" "3.2.0"
"scales" "scales" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.3.0" NA "R (>= 2.13)" "RColorBrewer, dichromat, plyr, munsell (>= 0.2), labeling,
methods, Rcpp" "Rcpp" "testthat (>= 0.8)" NA "MIT + file LICENSE" NA NA NA NA "yes" "3.2.0"
"shiny" "shiny" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.12.2" NA "R (>= 3.0.0), methods" "utils, httpuv (>= 1.3.3), mime (>= 0.3), jsonlite (>= 0.9.16),
xtable, digest, htmltools (>= 0.2.6), R6 (>= 2.0)" NA "datasets, Cairo (>= 1.5-5), testthat, knitr (>= 1.6),
markdown, ggplot2" NA "GPL-3 | file LICENSE" NA NA NA NA "no" "3.2.0"
"shinyAce" "shinyAce" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.1.0" NA "R (>= 2.15.0)" "shiny (>= 0.7.0)" NA "testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "3.2.0"
"shinyapps" "shinyapps" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.4.1.4" NA "
R (>= 3.0.0)" "
digest,
PKI,
RCurl,
RJSONIO,
packrat (>= 0.4.2-1),
yaml (>= 2.1.5),
rstudioapi (>= 0.2)" NA "
scrypt,
knitr,
testthat,
rmarkdown (>= 0.5.2)" "BiocInstaller" "GPL-2" NA NA NA NA NA "3.2.1"
"shinybootstrap2" "shinybootstrap2" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.2.1" NA "R (>= 3.0.0)" "htmltools (>= 0.2.6), jsonlite (>= 0.9.12), shiny" NA NA NA "GPL-3 | file LICENSE" NA NA NA NA "no" "3.2.0"
"shinyBS" "shinyBS" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.61" NA NA "shiny (>= 0.11), htmltools" NA NA NA "GPL-3" NA NA NA NA "no" "3.2.0"
"shinydashboard" "shinydashboard" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.5.1" NA "R (>= 3.0)" "utils, shiny (>= 0.11.1), htmltools (>= 0.2.6)" NA NA NA "GPL-2 | file LICENSE" NA NA NA NA "no" "3.2.0"
"shinyFiles" "shinyFiles" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.6.0" NA NA "tools, shiny (>= 0.11), htmltools, RJSONIO" NA NA NA "GPL (>= 2)" NA NA NA NA "no" "3.2.0"
"shinyjs" "shinyjs" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.2.2" NA "R (>= 3.1.0)" "
digest (>= 0.6.8),
htmltools (>= 0.2.6),
shiny (>= 0.11.1),
stats" NA "
knitr (>= 1.7),
testthat (>= 0.9.1),
V8 (>= 0.6)" NA "MIT + file LICENSE" NA NA NA NA NA "3.2.1"
"shinyRGL" "shinyRGL" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.1.0" NA "R (>= 2.15.0)" "rgl (>= 0.93.949), shiny (>= 0.6.0)" NA "testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "3.2.0"
"shinystan" "shinystan" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "2.0.1" NA "R (>= 3.1.0), shiny (>= 0.12.1)" "DT (>= 0.1), dygraphs (>= 0.4.5), ggplot2 (>= 1.0.0),
gridExtra, gtools, markdown (>= 0.7.4), methods, reshape2,
stats, shinyjs (>= 0.1.0), shinythemes (>= 1.0.1), threejs (>=
0.2.1), utils, xtable, xts (>= 0.9-7)" NA "coda, knitr (>= 1.9), rstan (>= 2.7), testthat" NA "GPL (>= 3)" NA NA NA NA "no" "3.2.0"
"shinyTable" "shinyTable" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.1.0" NA "
R (>= 2.15.0)" "
shiny (>= 0.8.0)" NA "
testthat" NA "MIT" NA NA NA NA NA "3.2.2"
"shinythemes" "shinythemes" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.0.1" NA "R (>= 3.0.0)" "shiny (>= 0.11)" NA NA NA "GPL-3 | file LICENSE" NA NA NA NA "no" "3.2.0"
"shinyTree" "shinyTree" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.2.2" NA "R (>= 2.15.1), methods" "shiny (>= 0.9.0)" NA "testthat" NA "MIT + file LICENSE" NA NA NA NA "no" "3.2.0"
"slam" "slam" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.1-32" NA "R (>= 2.8.0)" "stats" NA NA "Matrix, SparseM, spam" "GPL-2" NA NA NA NA "yes" "3.2.0"
"slidify" "slidify" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.3.52" NA "
R (>= 2.15.0)" "
knitr (>= 0.1),
markdown,
stringr,
yaml,
whisker" NA NA NA "MIT" NA NA NA NA NA "3.2.2"
"slidifyLibraries" "slidifyLibraries" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.3.1" NA NA NA NA NA NA "MIT" NA NA NA NA NA "3.2.2"
"SnowballC" "SnowballC" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.5.1" NA NA NA NA NA NA "BSD_2_clause + file LICENSE" NA NA NA NA "yes" "3.2.0"
"spatial" "spatial" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "7.3-11" "recommended" "R (>= 3.0.0), graphics, stats, utils" NA NA "MASS" NA "GPL-2 | GPL-3" NA NA NA NA "yes" "3.2.0"
"splines" "splines" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "3.2.2" "base" NA "graphics, stats" NA NA NA "Part of R 3.2.2" NA NA NA NA NA "3.2.2"
"stats" "stats" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "3.2.2" "base" NA NA NA NA NA "Part of R 3.2.2" NA NA NA NA NA "3.2.2"
"stats4" "stats4" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "3.2.2" "base" NA "graphics, methods, stats" NA NA NA "Part of R 3.2.2" NA NA NA NA NA "3.2.2"
"stringdist" "stringdist" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.9.4" NA "R (>= 2.15.3)" "parallel" NA "testthat" NA "GPL-3" NA NA NA NA "yes" "3.2.0"
"stringi" "stringi" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.0-1" NA "R (>= 2.13.1)" "tools, utils, stats" NA NA NA "file LICENSE" "yes" NA NA NA "yes" "3.2.0"
"stringr" "stringr" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.0.0" NA "R (>= 2.14)" "stringi (>= 0.4.1), magrittr" NA "testthat, knitr" NA "GPL-2" NA NA NA NA "no" "3.2.0"
"survival" "survival" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "2.38-3" "recommended" "R (>= 2.13.0), graphics, stats" "splines, methods" NA "cmprsk" NA "LGPL (>= 2)" NA NA NA NA "yes" "3.2.2"
"tcltk" "tcltk" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "3.2.2" "base" NA "utils" NA NA NA "Part of R 3.2.2" NA NA NA NA NA "3.2.2"
"testthat" "testthat" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.11.0" NA "R (>= 3.1.0), methods" "digest, crayon, praise" NA "devtools" NA "MIT + file LICENSE" NA NA NA NA "yes" "3.2.0"
"threejs" "threejs" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.2.1" NA "R (>= 3.0.0)" "htmlwidgets (>= 0.3.2), base64enc" NA "htmltools (>= 0.2.6), RCurl, maps, sp" "knitr, shiny" "MIT + file LICENSE" NA NA NA NA "no" "3.2.0"
"tidyr" "tidyr" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.3.1" NA "R (>= 3.1.0)" "dplyr (>= 0.4), stringi, lazyeval, magrittr, Rcpp" "Rcpp" "knitr, testthat, data.table, covr" NA "MIT + file LICENSE" NA NA NA NA "yes" "3.2.0"
"tools" "tools" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "3.2.2" "base" NA NA NA "XML" NA "Part of R 3.2.2" NA NA NA NA NA "3.2.2"
"utils" "utils" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "3.2.2" "base" NA NA NA NA NA "Part of R 3.2.2" NA NA NA NA NA "3.2.2"
"viridis" "viridis" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.3.1" NA "R (>= 2.10)" "stats, grDevices, ggplot2 (>= 1.0.1), gridExtra" NA "hexbin (>= 1.27.0), scales, MASS, knitr, dichromat,
colorspace, rasterVis, httr, mapproj" NA "MIT + file LICENSE" NA NA NA NA "no" "3.2.0"
"whisker" "whisker" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.3-2" NA NA NA NA "markdown" NA "GPL-3" NA NA NA NA "no" "3.2.0"
"XLConnect" "XLConnect" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.2-11" NA "R (>= 2.10.0), XLConnectJars (== 0.2-9)" "methods, rJava" NA "RUnit, lattice, ggplot2 (>= 0.9.3), zoo" NA "GPL-3" NA NA NA NA "no" "3.2.0"
"XLConnectJars" "XLConnectJars" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.2-9" NA NA "rJava" NA NA NA "GPL-3" NA NA NA NA "no" "3.2.0"
"xlsx" "xlsx" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.5.7" NA "rJava, xlsxjars" NA NA NA NA "GPL-3" NA NA NA NA "no" "3.2.0"
"xlsxjars" "xlsxjars" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.6.1" NA "rJava" NA NA NA NA "GPL-3" NA NA NA NA "no" "3.2.0"
"XML" "XML" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "3.98-1.3" NA "R (>= 2.13.0), methods, utils" NA NA "bitops, RCurl" NA "BSD_2_clause + file LICENSE" NA NA NA NA "yes" "3.2.0"
"xml2" "xml2" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.1.2" NA "R (>= 3.1.0)" "Rcpp" "Rcpp (>= 0.11.4.6), BH" "testthat, curl" NA "GPL (>= 2)" NA NA NA NA "yes" "3.2.0"
"XML2R" "XML2R" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.0.6" NA "R (>= 2.15.1), XML" "RCurl, plyr" NA NA NA "GPL (>= 2)" NA NA NA NA "no" "3.2.0"
"xtable" "xtable" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.8-0" NA "R (>= 2.10.0)" "stats, utils" NA "knitr" NA "GPL (>= 2)" NA NA NA NA "no" "3.2.0"
"xts" "xts" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "0.9-7" NA "zoo (>= 1.7-10)" NA NA "timeSeries,timeDate,tseries,its,chron,fts,tis" NA "GPL (>= 2)" NA NA NA NA "yes" "3.2.0"
"yaml" "yaml" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "2.1.13" NA NA NA NA "testthat" NA "BSD_3_clause + file LICENSE" NA NA NA NA "yes" "3.2.0"
"zoo" "zoo" "/Library/Frameworks/R.framework/Versions/3.2/Resources/library" "1.7-12" NA "R (>= 2.10.0), stats" "utils, graphics, grDevices, lattice (>= 0.20-27)" NA "coda, chron, DAAG, fts, its, ggplot2, mondate, scales,
strucchange, timeDate, timeSeries, tis, tseries, xts" NA "GPL-2 | GPL-3" NA NA NA NA "yes" "3.2.0"
